Review,lowercased,urls_removed,html_removed
"The product arrived on time. Packaging was great, and the quality is amazing!","the product arrived on time. packaging was great, and the quality is amazing!","the product arrived on time. packaging was great, and the quality is amazing!","the product arrived on time. packaging was great, and the quality is amazing!"
THIS PRODUCT IS JUST AMAZING! I LOVE IT.,this product is just amazing! i love it.,this product is just amazing! i love it.,this product is just amazing! i love it.
"I bought this phone for $799, and it has a 120Hz display. Totally worth it!","i bought this phone for $799, and it has a 120hz display. totally worth it!","i bought this phone for $799, and it has a 120hz display. totally worth it!","i bought this phone for $799, and it has a 120hz display. totally worth it!"
Wow!!! This product is awesome... but a bit expensive??,wow!!! this product is awesome... but a bit expensive??,wow!!! this product is awesome... but a bit expensive??,wow!!! this product is awesome... but a bit expensive??
   The laptop works perfectly fine.   ,   the laptop works perfectly fine.   ,   the laptop works perfectly fine.   ,   the laptop works perfectly fine.   
Check out the full product details here: https://example.com/product-details,check out the full product details here: https://example.com/product-details,check out the full product details here: ,check out the full product details here: 
<div><h2>Great Purchase!</h2><p>I am happy with this product.</p></div>,<div><h2>great purchase!</h2><p>i am happy with this product.</p></div>,<div><h2>great purchase!</h2><p>i am happy with this product.</p></div>,great purchase!i am happy with this product.
"The battry life is excelent, but the chargin cable is too short.","the battry life is excelent, but the chargin cable is too short.","the battry life is excelent, but the chargin cable is too short.","the battry life is excelent, but the chargin cable is too short."
I can't believe it's so good! Didn't expect such quality.,i can't believe it's so good! didn't expect such quality.,i can't believe it's so good! didn't expect such quality.,i can't believe it's so good! didn't expect such quality.
"Love this product! ???? Fast delivery ??, amazing quality! ??","love this product! ???? fast delivery ??, amazing quality! ??","love this product! ???? fast delivery ??, amazing quality! ??","love this product! ???? fast delivery ??, amazing quality! ??"
"TBH, I wasnt expecting much, but OMG, this is awesome!!","tbh, i wasnt expecting much, but omg, this is awesome!!","tbh, i wasnt expecting much, but omg, this is awesome!!","tbh, i wasnt expecting much, but omg, this is awesome!!"
This is the best product I have ever used in my life!,this is the best product i have ever used in my life!,this is the best product i have ever used in my life!,this is the best product i have ever used in my life!
"The shoes were comfortable, fitting nicely, and worked perfectly for jogging.","the shoes were comfortable, fitting nicely, and worked perfectly for jogging.","the shoes were comfortable, fitting nicely, and worked perfectly for jogging.","the shoes were comfortable, fitting nicely, and worked perfectly for jogging."
